,order_id,order_date,order_priority,order_quantity,sales,discount,ship_mode,profit,unit_price,shipping_cost,first_name,last_name,region,customer_segment,product_category,product_sub-category,product_name,product_container,product_base_margin,ship_date,birthdate,Manager,Status
17,1154,2012-02-14,Critical,13/02/1900,4462.23,0.04,Delivery Truck,440.72,100.98,26.22,Sylvia,Foulston,Nunavut,Home Office,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6,2012-02-16,1948-06-26,Chris,Not Returned
18,1154,2012-02-14,Critical,11/01/1900,663.784,0.25,Regular Air,-481.04,71.37,69.0,Sylvia,Foulston,Nunavut,Home Office,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.68,2012-02-16,1948-06-26,Chris,Not Returned
19,1344,2012-04-15,Low,15/01/1900,834.904,0.06,Regular Air,-11.68,65.99,5.26,Jim,Radford,Nunavut,Corporate,Technology,Telephones and Communication,g520,Small Box,0.59,2012-04-22,1982-07-03,Chris,Not Returned
20,1344,2012-04-15,Low,18/01/1900,2480.9205,0.01,Regular Air,313.58,155.99,8.99,Jim,Radford,Nunavut,Corporate,Technology,Telephones and Communication,LX 788,Small Box,0.58,2012-04-19,1982-09-20,Chris,Not Returned
21,1412,2010-03-12,Not Specified,13/01/1900,59.03,0.1,Express Air,26.92,3.69,0.5,Carlos,Soltero,Nunavut,Consumer,Office Supplies,Labels,Avery 52,Small Box,0.38,2010-03-14,1982-03-09,Chris,Not Returned
22,1412,2010-03-12,Not Specified,21/01/1900,97.48,0.05,Regular Air,-5.77,4.71,0.7,Carlos,Soltero,Nunavut,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.8,2010-03-14,1982-12-10,Chris,Not Returned
23,1539,2011-03-09,Low,02/02/1900,511.83,0.1,Regular Air,-172.88,15.99,13.18,Carl,Ludwig,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,2011-11-03,1982-11-10,Chris,Not Returned
24,1539,2011-03-09,Low,07/02/1900,184.99,0.05,Regular Air,-144.55,4.89,4.93,Carl,Ludwig,Nunavut,Corporate,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,0.66,2011-03-14,1982-09-17,Chris,Not Returned
25,1540,2012-08-04,High,30/01/1900,80.9,0.09,Regular Air,5.76,2.88,0.7,Don,Miller,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,0.56,2012-06-08,1949-12-23,Chris,Not Returned
26,1702,2011-05-06,High,23/01/1900,67.24,0.06,Regular Air,4.9,2.84,0.93,Annie,Cyprus,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent Tank-Style Highlighters,Wrap Bag,0.54,2011-07-05,1950-03-04,Chris,Not Returned
27,1761,2010-12-23,High,25/01/1900,12028.23,0.01,Delivery Truck,-547.61,449.99,49.0,Carl,Ludwig,Nunavut,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,0.38,2010-12-25,1950-07-12,Chris,Not Returned
28,1792,2010-11-08,Low,28/01/1900,370.48,0.04,Regular Air,-5.45,13.48,4.51,Carlos,Soltero,Nunavut,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.59,2010-11-13,1950-11-04,Chris,Not Returned
29,2275,2012-10-21,Not Specified,18/02/1900,278.0,0.08,Regular Air,41.67,6.08,1.17,Grant,Carroll,Nunavut,Small Business,Office Supplies,Pens & Art Supplies,Col-Erase® Pencils with Erasers,Wrap Bag,0.56,2012-10-22,1950-12-21,Chris,Not Returned
30,2277,2011-01-01,Not Specified,10/01/1900,66.54,0.01,Regular Air,-46.03,5.98,4.38,Don,Miller,Nunavut,Home Office,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack,0.75,2011-02-01,1951-02-22,Chris,Not Returned
31,2277,2011-01-01,Not Specified,21/01/1900,845.32,0.06,Regular Air,33.67,40.99,19.99,Don,Miller,Nunavut,Home Office,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,0.36,2011-03-01,1951-02-22,Chris,Not Returned
32,2532,2011-10-10,High,08/02/1900,282.07,0.03,Regular Air,140.01,7.31,0.49,Alan,Barnes,Nunavut,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.38,2011-11-10,1951-11-06,Chris,Not Returned
33,2532,2011-10-10,High,24/01/1900,426.037,0.01,Regular Air,-78.96,20.99,2.5,Alan,Barnes,Nunavut,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.81,2011-11-10,1951-09-23,Chris,Not Returned
34,2631,2010-09-23,Low,27/01/1900,1078.49,0.08,Regular Air,252.66,40.96,1.99,Jack,Garza,Nunavut,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.55,2010-09-25,1951-06-19,Chris,Not Returned
35,2757,2011-07-19,Critical,08/02/1900,3554.46,0.07,Delivery Truck,-1766.01,95.95,74.35,Julia,West,Nunavut,Corporate,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,0.57,2011-07-19,1952-02-24,Chris,Not Returned
36,2791,2009-10-09,High,16/02/1900,191.67,0.0,Regular Air,-236.27,3.89,7.01,Eugene,Barchas,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,0.37,2009-09-10,1982-12-18,Chris,Not Returned
37,2791,2009-10-09,High,18/02/1900,5586.33,0.09,Delivery Truck,80.44,120.98,30.0,Eugene,Barchas,Nunavut,Corporate,Furniture,Chairs & Chairmats,Hon Every-Day® Chair Series Swivel Task Chairs,Jumbo Drum,0.64,2009-11-10,1981-11-27,Chris,Not Returned
38,2791,2009-10-09,High,18/01/1900,507.64,0.1,Regular Air,118.94,30.98,5.76,Eugene,Barchas,Nunavut,Corporate,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Small Box,0.4,2009-10-10,1952-03-23,Chris,Not Returned
39,2976,2010-12-09,Not Specified,30/01/1900,14223.82,0.09,Delivery Truck,3424.22,500.98,26.0,Edward,Hooks,Nunavut,Consumer,Furniture,Chairs & Chairmats,Global Troy Executive Leather Low-Back Tilter,Jumbo Drum,0.6,2010-11-12,1952-12-17,Chris,Not Returned
40,3232,2012-10-08,Critical,05/01/1900,42.66,0.06,Regular Air,-11.83,7.84,4.71,Brad,Eason,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,XtraLife® ClearVue Slant-D® Ring Binders by Cardinal,Small Box,0.35,2012-10-10,1981-01-08,Chris,Not Returned
41,3524,2012-05-02,High,21/01/1900,427.32,0.0,Regular Air,52.35,18.97,9.03,Nicole,Hansen,Nunavut,Small Business,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37,2012-03-05,1981-10-16,Chris,Not Returned
42,3908,2010-03-08,Medium,08/01/1900,820.284,0.0,Regular Air,-180.2,115.99,2.5,Dorothy,Wardle,Nunavut,Corporate,Technology,Telephones and Communication,6160,Small Box,0.57,2010-08-03,1981-06-13,Chris,Not Returned
43,4132,2011-05-28,Not Specified,05/01/1900,14.76,0.01,Regular Air,1.32,2.88,0.5,Aaron,Bergman,Nunavut,Corporate,Office Supplies,Labels,Avery 49,Small Box,0.36,2011-05-30,1980-02-24,Chris,Not Returned
44,4612,2010-09-19,Medium,09/01/1900,89.55,0.06,Regular Air,-375.64,4.48,49.0,Jim,Radford,Nunavut,Corporate,Office Supplies,Appliances,Hoover Portapower Portable Vacuum,Large Box,0.6,2010-09-21,1953-05-24,Chris,Not Returned
45,4676,2011-08-31,High,11/01/1900,1210.0515,0.04,Regular Air,-104.25,125.99,7.69,Annie,Cyprus,Nunavut,Home Office,Technology,Telephones and Communication,Timeport L7089,Small Box,0.58,2011-01-09,1954-05-19,Chris,Not Returned
46,4676,2011-08-31,High,19/02/1900,187.83,0.03,Regular Air,85.96,3.75,0.5,Annie,Cyprus,Nunavut,Home Office,Office Supplies,Labels,Avery 510,Small Box,0.37,2011-02-09,1954-03-22,Chris,Not Returned
47,4676,2011-08-31,High,03/01/1900,49.59,0.07,Express Air,-8.38,12.28,6.47,Annie,Cyprus,Nunavut,Home Office,Office Supplies,Paper,Xerox 1881,Small Box,0.38,2011-02-09,1954-02-27,Chris,Not Returned
48,4676,2011-08-31,High,30/01/1900,4253.009,0.01,Regular Air,1115.69,155.99,8.99,Annie,Cyprus,Nunavut,Home Office,Technology,Telephones and Communication,LX 788,Small Box,0.58,2011-01-09,1954-11-22,Chris,Not Returned
49,5284,2011-07-08,Not Specified,07/01/1900,59.38,0.1,Regular Air,-3.05,8.69,2.99,Annie,Cyprus,Nunavut,Home Office,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,2011-10-07,1984-07-18,Chris,Not Returned
50,5316,2009-01-30,Critical,11/02/1900,1285.37,0.1,Regular Air,514.07,31.78,1.99,Clay,Rozendal,Nunavut,Corporate,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,0.42,2009-01-02,1955-07-09,Chris,Not Returned
51,5409,2012-01-08,Low,11/01/1900,48.91,0.01,Regular Air,-7.04,3.98,2.97,Don,Jones,Nunavut,Corporate,Office Supplies,Paper,Unpadded Memo Slips,Wrap Bag,0.35,2012-01-13,1955-04-08,Chris,Not Returned
52,5506,2010-11-07,Critical,22/01/1900,129.62,0.05,Regular Air,4.41,5.88,3.04,Beth,Thompson,Nunavut,Corporate,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wrap Bag,0.36,2010-08-11,1955-07-08,Chris,Not Returned
53,5569,2010-04-29,Not Specified,12/01/1900,118.97,0.09,Regular Air,-0.06,9.65,6.22,Frank,Price,Nunavut,Corporate,Furniture,Office Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Small Box,0.55,2010-01-05,1984-08-20,Chris,Not Returned
54,5607,2011-12-31,Not Specified,08/01/1900,61.8715,0.0,Regular Air,-50.33,7.99,5.03,Michelle,Lonsdale,Nunavut,Home Office,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,2012-03-01,1956-10-03,Chris,Not Returned
55,5894,2009-08-12,High,07/01/1900,384.33,0.1,Regular Air,87.68,58.1,1.49,Ann,Chong,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Small Box,0.38,2009-08-13,1956-05-03,Chris,Not Returned
56,5894,2009-08-12,High,03/01/1900,239.03,0.01,Regular Air,-68.22,80.48,4.5,Ann,Chong,Nunavut,Corporate,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Small Box,0.55,2009-08-15,1957-03-04,Chris,Not Returned
57,5925,2011-11-12,Low,13/02/1900,3922.42,0.08,Regular Air,-354.9,92.23,39.61,Joy,Bell,Nunavut,Home Office,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,0.67,2011-11-19,1957-12-10,Chris,Not Returned
58,5925,2011-11-12,Low,25/01/1900,1733.3625,0.07,Regular Air,-267.01,85.99,0.99,Joy,Bell,Nunavut,Home Office,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,2011-11-19,1958-04-27,Chris,Not Returned
59,6016,2012-01-20,High,19/01/1900,208.28,0.07,Regular Air,3.63,11.48,5.43,Skye,Norling,Nunavut,Home Office,Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,Small Box,0.36,2012-01-20,1958-01-04,Chris,Not Returned
60,6116,2009-03-20,Medium,06/01/1900,9620.82,0.04,Regular Air,-1759.58,1637.53,24.49,Barry,Weirich,Nunavut,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,0.81,2009-03-22,1958-03-17,Chris,Not Returned
61,6182,2012-07-21,Low,09/02/1900,255.48,0.04,Regular Air,-116.79,6.48,6.65,Grant,Carroll,Nunavut,Corporate,Office Supplies,Paper,Xerox 1966,Small Box,0.36,2012-07-28,1958-03-17,Chris,Not Returned
62,6182,2012-07-21,Low,18/01/1900,130.32,0.04,Express Air,-67.28,6.48,7.86,Grant,Carroll,Nunavut,Corporate,Office Supplies,Paper,Xerox 213,Small Box,0.37,2012-07-25,1979-02-09,Chris,Not Returned
63,6535,2012-06-12,Critical,11/01/1900,312.36,0.07,Express Air,-19.33,28.15,8.99,Adrian,Hane,Nunavut,Corporate,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,0.57,2012-06-15,1979-07-04,Chris,Not Returned
64,6884,2009-01-15,Low,10/02/1900,217.0,0.01,Regular Air,-61.21,4.98,4.75,Skye,Norling,Nunavut,Home Office,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.36,2009-01-20,1979-07-12,Chris,Not Returned
65,6884,2009-01-15,Low,16/02/1900,296.13,0.04,Regular Air,119.09,6.35,1.02,Skye,Norling,Nunavut,Home Office,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Wrap Bag,0.39,2009-01-20,1977-09-10,Chris,Not Returned
66,6916,2010-06-04,Low,09/02/1900,436.17,0.08,Express Air,-141.27,10.9,7.46,Andrew,Gjertsen,Nunavut,Consumer,Office Supplies,Storage & Organization,Crate-A-Files,Small Box,0.59,2010-08-06,1977-11-27,Chris,Not Returned
67,6980,2010-02-18,Not Specified,18/01/1900,136.29,0.05,Regular Air,-77.28,7.3,7.72,Ralph,Knight,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2010-02-19,1980-09-25,Chris,Not Returned
68,6982,2011-11-16,Not Specified,01/02/1900,1311.25,0.0,Express Air,407.44,39.48,1.99,Dorothy,Wardle,Nunavut,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,2011-11-18,1959-09-23,Chris,Not Returned
69,6982,2011-11-16,Not Specified,05/01/1900,544.41,0.09,Delivery Truck,-338.27,100.98,57.38,Dorothy,Wardle,Nunavut,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.78,2011-11-18,1959-09-21,Chris,Not Returned
70,6982,2011-11-16,Not Specified,10/02/1900,844.09,0.04,Regular Air,52.56,19.98,10.49,Dorothy,Wardle,Nunavut,Corporate,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box,0.49,2011-11-18,1959-05-04,Chris,Not Returned
71,7110,2011-08-07,Low,22/01/1900,6396.2,0.02,Regular Air,1902.24,276.2,24.49,Grant,Carroll,Nunavut,Corporate,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,0.0,2011-11-08,1959-06-26,Chris,Not Returned
72,7430,2010-06-08,Medium,19/02/1900,751.77,0.05,Regular Air,353.2,15.67,1.39,Barry,Weirich,Nunavut,Corporate,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,0.38,2010-09-06,1959-06-02,Chris,Not Returned
73,7906,2009-10-17,Medium,06/02/1900,1003.06,0.03,Regular Air,271.78,25.98,5.37,Beth,Paige,Nunavut,Consumer,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box,0.5,2009-10-17,1960-08-14,Chris,Not Returned
74,8391,2011-08-28,High,04/01/1900,1266.72,0.04,Delivery Truck,-268.36,300.98,64.73,Sylvia,Foulston,Nunavut,Corporate,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,0.56,2011-08-29,1960-08-28,Chris,Not Returned
75,8419,2011-09-29,Critical,19/01/1900,368.04,0.07,Express Air,70.39,19.98,5.97,Nicole,Hansen,Nunavut,Small Business,Office Supplies,Paper,Xerox 1936,Small Box,0.38,2011-01-10,1961-11-16,Chris,Not Returned
76,8419,2011-09-29,Critical,24/01/1900,152.6,0.1,Regular Air,-86.62,6.48,7.03,Nicole,Hansen,Nunavut,Small Business,Office Supplies,Paper,Xerox 214,Small Box,0.37,2011-09-30,1961-07-13,Chris,Not Returned
77,8833,2012-05-04,Low,09/02/1900,3338.98,0.0,Regular Air,-846.73,80.98,35.0,Nicole,Hansen,Nunavut,Small Business,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box,0.81,2012-08-05,1961-09-19,Chris,Not Returned
78,8995,2011-05-17,High,05/01/1900,24.16,0.08,Express Air,8.05,1.88,1.49,Beth,Paige,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders,Small Box,0.37,2011-05-18,1978-10-01,Chris,Not Returned
79,8995,2011-05-17,High,10/02/1900,270.84,0.1,Express Air,-78.02,6.48,5.86,Beth,Paige,Northwest_Territories,Consumer,Office Supplies,Paper,Xerox 1904,Small Box,0.36,2011-05-18,1963-11-03,Erin,Not Returned
80,8995,2011-05-17,High,04/02/1900,3389.93,0.08,Express Air,737.94,102.3,21.26,Beth,Paige,Northwest_Territories,Consumer,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box,0.59,2011-05-18,1963-07-17,Erin,Not Returned
81,8995,2011-05-17,High,11/02/1900,266.36,0.07,Regular Air,-191.28,6.48,8.19,Beth,Paige,Northwest_Territories,Consumer,Office Supplies,Paper,Xerox 217,Small Box,0.37,2011-05-18,1963-07-17,Erin,Not Returned
82,8995,2011-05-17,High,15/02/1900,89.41,0.01,Regular Air,-21.49,1.89,0.76,Beth,Paige,Northwest_Territories,Consumer,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag,0.83,2011-05-19,1970-04-08,Erin,Not Returned
83,9126,2009-11-17,Medium,16/02/1900,2799.7,0.04,Regular Air,884.08,62.05,3.99,Sylvia,Foulston,Northwest_Territories,Corporate,Office Supplies,Appliances,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box,0.55,2009-11-18,1970-03-15,Erin,Not Returned
84,9127,2011-10-10,Not Specified,07/01/1900,2039.56,0.04,Express Air,-329.49,279.48,35.0,Bryan,Davis,Northwest_Territories,Corporate,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,0.8,2011-12-10,1961-12-09,Erin,Not Returned
85,9509,2012-10-07,Not Specified,05/02/1900,12175.82,0.02,Delivery Truck,2825.15,320.98,58.95,Joy,Bell,Northwest_Territories,Home Office,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda Round Back Stacking Chairs,Jumbo Drum,0.57,2012-08-10,1961-07-19,Erin,Not Returned
86,9509,2012-10-07,Not Specified,05/01/1900,101.21,0.1,Express Air,2.13,18.97,5.21,Joy,Bell,Northwest_Territories,Home Office,Office Supplies,Paper,Xerox 1887,Small Box,0.37,2012-08-10,1961-12-23,Erin,Not Returned
87,9509,2012-10-07,Not Specified,01/02/1900,1585.64,0.02,Regular Air,707.15,48.91,5.81,Joy,Bell,Northwest_Territories,Home Office,Office Supplies,Paper,Xerox 1891,Small Box,0.38,2012-07-10,1961-03-10,Erin,Not Returned
88,9763,2011-08-13,Medium,13/02/1900,176.26,0.07,Regular Air,75.13,4.13,0.5,Alan,Barnes,Northwest_Territories,Corporate,Office Supplies,Labels,Avery 506,Small Box,0.39,2011-08-16,1961-11-25,Erin,Not Returned
89,9927,2011-08-16,High,01/02/1900,4655.07,0.0,Delivery Truck,-270.63,140.98,53.48,Grant,Carroll,Northwest_Territories,Corporate,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,0.65,2011-08-17,1961-05-02,Erin,Returned
90,9927,2011-08-16,High,13/02/1900,10087.6,0.01,Regular Air,3387.35,218.08,18.06,Grant,Carroll,Northwest_Territories,Corporate,Furniture,Chairs & Chairmats,"Lifetime Advantage Folding Chairs, 4/Carton",Large Box,0.57,2011-08-17,1961-12-17,Erin,Returned
91,10022,2009-03-04,Low,01/01/1900,12.18,0.06,Regular Air,-3.88,10.14,2.27,Delfina,Latchford,Northwest_Territories,Small Business,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,0.36,2009-04-03,1971-06-05,Erin,Not Returned
92,10437,2009-08-18,Critical,19/02/1900,820.52,0.01,Regular Air,-191.22,15.99,13.18,Don,Jones,Northwest_Territories,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,2009-08-20,1971-10-09,Erin,Not Returned
93,10499,2010-11-16,Not Specified,29/01/1900,6250.936,0.01,Delivery Truck,31.21,262.11,62.74,Doug,Bickford,Northwest_Territories,Corporate,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box,0.75,2010-11-17,1966-01-04,Erin,Not Returned
94,10535,2011-05-27,Low,25/01/1900,854.88,0.09,Regular Air,-44.14,33.98,19.99,Doug,Bickford,Northwest_Territories,Corporate,Furniture,Office Furnishings,"Linden® 12"" Wall Clock With Oak Frame",Small Box,0.55,2011-05-29,1966-01-09,Erin,Not Returned
95,10535,2011-05-27,Low,15/02/1900,80.27,0.09,Regular Air,-0.79,1.76,0.7,Doug,Bickford,Northwest_Territories,Corporate,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,0.56,2011-03-06,1966-10-08,Erin,Not Returned
96,10789,2010-08-23,Not Specified,15/01/1900,308.54,0.0,Express Air,76.42,19.84,4.1,Jamie,Kunitz,Northwest_Territories,Corporate,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44,2010-08-24,1965-10-27,Erin,Not Returned
97,10791,2011-08-19,Not Specified,20/01/1900,400.57,0.05,Regular Air,93.36,19.98,5.77,Anthony,Johnson,Northwest_Territories,Small Business,Office Supplies,Paper,Xerox Blank Computer Paper,Small Box,0.38,2011-08-21,1965-01-05,Erin,Not Returned
98,10945,2012-01-03,Medium,14/01/1900,1170.025,0.04,Regular Air,4.22,95.99,8.99,Ralph,Knight,Northwest_Territories,Consumer,Technology,Telephones and Communication,600 Series Flip,Small Box,0.57,2012-05-01,1965-08-03,Erin,Not Returned
